#{"t_start": 1765593200.3329856, "env_id": "None"}
r,l,t
-62.599728,1000,28.135727
-89.59977,1000,28.135896
-128.39926,1000,28.13592
103.002365,1000,28.13593
-194.99817,1000,28.135938
65.20192,1000,28.135946
2.8000019,1000,28.135954
78.40193,1000,28.135961
-138.79904,1000,28.135969
-133.99911,1000,28.135976
-14.600048,1000,28.135983
-158.39874,1000,28.135991
-172.59854,1000,28.135998
-177.39845,1000,28.136006
-63.999702,1000,28.136013
-13.598898,1000,28.13602
-167.1986,1000,28.13603
-199.39806,1000,28.136038
-190.79822,1000,28.136046
76.40242,1000,28.136054
178.39854,1000,28.136061
-164.99864,1000,28.13607
-185.39835,1000,28.136078
-37.59942,1000,28.136086
129.40195,1000,28.136093
-217.19777,1000,28.136101
-47.200005,1000,28.136108
-158.99873,1000,28.136117
667.9912,1000,71.79341
188.79637,1000,71.793471
-206.79794,1000,71.793484
9.599999,1000,71.793493
-51.20002,1000,71.7935
-212.9978,1000,71.793508
794.19,1000,71.793515
-178.99843,1000,71.793522
793.99054,1000,71.79353
-75.39986,1000,71.793538
-177.79843,1000,71.793545
-198.9981,1000,71.793552
-83.99989,1000,71.79356
-103.99958,1000,71.793567
-178.59843,1000,71.793575
149.80078,1000,71.793582
-35.600174,1000,71.793589
-224.5976,1000,71.793597
85.802155,1000,71.793604
-178.39842,1000,71.793611
-94.59967,1000,71.793618
35.401295,1000,71.793625
233.99364,1000,71.793633
-49.60005,1000,71.79364
-140.79901,1000,71.793647
-64.199905,1000,71.793654
-205.59793,1000,71.793661
-213.39783,1000,71.793669
-148.39894,1000,113.966068
-118.599464,1000,113.966134
-172.39854,1000,113.966148
6.801138,1000,113.966157
-158.99875,1000,113.966166
-66.19964,1000,113.966174
128.80043,1000,113.966182
-45.199966,1000,113.96619
672.79193,1000,113.966202
-10.798977,1000,113.966209
-131.99918,1000,113.966217
-114.79941,1000,113.966224
-110.39945,1000,113.966232
-161.79874,1000,113.966239
208.19577,1000,113.966246
-95.599686,1000,113.966253
-24.799234,1000,113.966261
797.9911,1000,113.966268
-194.99815,1000,113.966276
805.99097,1000,113.966283
-63.19993,1000,113.966291
-43.999535,1000,113.966298
-168.59859,1000,113.966305
-52.000168,1000,113.966312
-136.99908,1000,113.96632
-138.99908,1000,113.966327
-173.59854,1000,113.966334
101.00249,1000,113.966342
-12.3991585,1000,167.313347
792.9911,1000,167.313431
156.39906,1000,167.313443
270.79193,1000,167.313452
-113.39945,1000,167.31346
-68.99997,1000,167.313468
-43.000206,1000,167.313476
332.99182,1000,167.313483
-156.59879,1000,167.313491
-122.39938,1000,167.313499
-132.39915,1000,167.313506
-23.799276,1000,167.313514
212.39491,1000,167.313521
670.59094,1000,167.313528
-106.799614,1000,167.313535
261.19345,1000,167.313543
-120.399414,1000,167.31355
-151.79887,1000,167.313559
-147.59894,1000,167.313566
-166.19862,1000,167.313573
-103.19962,1000,167.31358
-141.79904,1000,167.313587
-147.19893,1000,167.313595
-113.399475,1000,167.313602
139.6007,1000,167.31361
-75.200005,1000,167.313617
360.59506,1000,167.313625
-49.399784,1000,167.313632
796.9913,1000,191.612086
63.602013,1000,191.612146
808.7907,1000,191.612159
-128.39919,1000,191.612167
-125.19925,1000,191.612175
-83.000114,1000,191.612183
427.39075,1000,191.61219
110.202225,1000,191.612198
-109.5995,1000,191.612206
-60.999844,1000,191.612215
320.39267,1000,191.612222
91.601685,1000,191.61223
-72.600006,1000,191.612237
-60.000217,1000,191.612246
-167.5986,1000,191.612253
197.4006,1000,191.61226
-150.39891,1000,191.612268
-36.59963,1000,191.612275
-139.3991,1000,191.612283
-104.19952,1000,191.61229
668.3916,1000,191.612297
247.19337,1000,191.612305
30.801582,1000,191.612312
-143.79901,1000,191.61232
43.201675,1000,191.612327
98.20198,1000,191.612334
-104.59968,1000,191.612342
-5.3986917,1000,191.61235
674.39075,1000,270.424909
-109.59958,1000,270.424994
-95.7998,1000,270.425011
-4.7990737,1000,270.425019
801.3915,1000,270.425026
-89.99987,1000,270.425034
-79.200005,1000,270.425041
96.002594,1000,270.425048
193.39798,1000,270.425056
-9.599672,1000,270.425063
-176.19844,1000,270.43282
65.402115,1000,270.432889
-98.39972,1000,270.432906
-106.399666,1000,270.432915
254.5932,1000,270.432923
5.2012615,1000,270.432931
-113.19943,1000,270.432938
-67.20013,1000,270.432946
-85.60002,1000,270.432953
-35.999367,1000,270.432961
210.99457,1000,270.432968
115.80194,1000,270.432976
18.599983,1000,270.432983
-119.79944,1000,270.43299
-99.999695,1000,270.433003
-22.1993,1000,270.43301
-160.39871,1000,270.433017
27.801373,1000,270.433025
-32.600178,1000,330.65208
57.402416,1000,330.652166
-14.199332,1000,330.652179
-40.399895,1000,330.652188
-50.399773,1000,330.652196
-61.60012,1000,330.652205
43.40125,1000,330.652213
-158.79874,1000,330.652223
673.39294,1000,330.652231
224.59567,1000,330.652238
152.39958,1000,330.652246
110.40213,1000,330.652253
672.19116,1000,330.65226
801.1915,1000,330.652268
-166.5986,1000,330.652276
556.7909,1000,330.652287
223.19737,1000,330.652294
796.9923,1000,330.652301
798.79095,1000,330.652309
28.999992,1000,330.652316
793.9897,1000,330.652323
-75.600136,1000,330.652332
134.00194,1000,330.65234
231.79782,1000,330.652347
-138.59908,1000,330.652355
130.60172,1000,330.652362
-61.99993,1000,330.65237
-116.79946,1000,330.652377
-87.999886,1000,386.551584
16.801544,1000,386.55165
795.1902,1000,386.551663
62.002357,1000,386.551672
668.79205,1000,386.551679
75.201675,1000,386.551688
-61.19966,1000,386.551696
-27.600069,1000,386.551703
126.80177,1000,386.551711
336.19443,1000,386.551719
-161.99873,1000,386.551727
-150.99886,1000,386.551734
-56.000248,1000,386.551742
247.39325,1000,386.551749
-72.80013,1000,386.551757
799.9906,1000,386.551764
334.79214,1000,386.551772
-179.19836,1000,386.551779
51.201523,1000,386.551787
54.40213,1000,386.551794
388.79242,1000,386.551802
90.20233,1000,386.551809
182.79817,1000,386.551817
226.79433,1000,386.551825
801.39264,1000,386.551832
-118.59935,1000,386.551839
230.19571,1000,386.551847
-79.399925,1000,386.551855
-5.599027,1000,414.583566
372.19128,1000,414.583632
-12.999188,1000,414.583645
-124.79926,1000,414.583654
60.802216,1000,414.583662
210.80031,1000,414.583671
646.59216,1000,414.583679
143.40123,1000,414.583688
-17.399778,1000,414.583696
421.1914,1000,414.583704
794.1931,1000,414.583712
200.39745,1000,414.58372
75.401215,1000,414.583728
798.99146,1000,414.583736
800.995,1000,414.583745
198.39684,1000,414.583753
196.39796,1000,414.58376
303.39285,1000,414.583769
141.80128,1000,414.583782
814.3954,1000,414.583789
672.19116,1000,414.583797
-26.999601,1000,414.583804
123.600494,1000,414.583812
679.7952,1000,414.583821
794.1909,1000,414.583829
101.00183,1000,414.583837
171.80057,1000,414.583845
-36.799248,1000,414.583853
-17.399176,1000,479.503898
93.202194,1000,479.503963
670.59436,1000,479.503975
-68.00011,1000,479.503983
428.79224,1000,479.50399
46.80207,1000,479.503997
797.59314,1000,479.504004
151.99995,1000,479.504011
97.401886,1000,479.504018
12.601422,1000,479.504025
-4.2000237,1000,479.504031
-55.400066,1000,479.504038
-3.1987536,1000,479.504045
-36.99947,1000,479.504051
-24.3994,1000,479.504058
257.5924,1000,479.504065
675.7929,1000,479.504071
84.40224,1000,479.504078
160.60149,1000,479.504087
-46.99988,1000,479.504092
-6.598767,1000,479.504098
385.5928,1000,479.504104
306.3923,1000,479.50411
793.39246,1000,479.504115
250.79463,1000,479.504121
95.20235,1000,479.504127
-49.400337,1000,479.504133
-55.59983,1000,479.504139
190.79875,1000,554.55647
229.59505,1000,554.556557
347.59317,1000,554.556572
513.99347,1000,554.556582
96.60243,1000,554.556591
-37.99984,1000,554.556601
-42.99947,1000,554.556609
-150.99893,1000,554.556618
249.79297,1000,554.556627
871.99744,1000,554.556636
796.9913,1000,554.556644
440.59247,1000,554.556653
-33.199448,1000,554.556662
228.79494,1000,554.556671
670.7908,1000,554.556679
16.000374,1000,554.556688
26.201412,1000,554.556696
669.1939,1000,554.556705
120.40187,1000,554.556713
796.59534,1000,554.556722
131.40263,1000,554.556734
50.20216,1000,554.556741
29.801014,1000,554.556754
300.9934,1000,554.556765
665.5921,1000,554.556773
168.60194,1000,554.556781
-79.20006,1000,554.556789
286.19153,1000,554.556798
